category,split,sample_idx,path,y_idx,roi_z0,roi_z1,roi_x0,roi_x1,roi_shape_zx,mean_env,std_env,speckle_snr_mean_over_std,autocorr_fwhm_z_vox,autocorr_fwhm_x_vox,autocorr_fwhm_z_mm,autocorr_fwhm_x_mm,selection_score,selection_mean,selection_std,selection_cv,selection_grad_norm,selection_high_frac,selection_p99_over_mean
muscle,train,591,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000349_muscle_train_patch002.h5,16,32,63,4,19,32x16,19646.09375,10171.7373046875,1.9314393560819128,6.924827867882851,3.8103517115060734,0.25067876881735923,0.7620703423012147,0.39251850369825425,19646.09375,10171.7373046875,0.5177485883007914,0.39251850369825425,0.0,2.334730584165109
muscle,train,600,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000351_muscle_train_patch001.h5,16,32,63,4,19,32x16,6883.25390625,3558.59375,1.9342623490669588,5.622046652577929,3.2746046484766573,0.20351808882332104,0.6549209296953316,0.3989078382033388,6883.25390625,3558.59375,0.5169929510763498,0.3989078382033388,0.0,2.5995932156450805
muscle,train,618,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000354_muscle_train_patch004.h5,16,8,39,16,31,32x16,4406.4189453125,2220.83837890625,1.9841240979825978,5.801586688475416,3.3026616603214314,0.21001743812281007,0.6605323320642863,0.40786230130623863,4406.4189453125,2220.83837890625,0.5040007331279185,0.40200292630623863,0.001953125,2.246972578400695
muscle,train,412,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000313_muscle_train_patch003.h5,16,0,31,16,31,32x16,3894.744873046875,1444.79150390625,2.6957141307356385,5.008872748266061,2.3501546684935133,0.1813211934872314,0.4700309336987027,0.4082349738095797,3894.744873046875,1444.79150390625,0.370959215815331,0.3847974738095797,0.0078125,1.7613281618517034
muscle,train,663,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000363_muscle_train_patch004.h5,16,32,63,4,19,32x16,711.65087890625,302.7861328125,2.3503417157711666,4.746976372482986,2.7053782279268366,0.1718405446838841,0.5410756455853674,0.410813608391579,711.65087890625,302.7861328125,0.4254700468829005,0.410813608391579,0.0,1.8050309750998457
muscle,train,564,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/muscle/RF000343_muscle_train_patch005.h5,16,8,39,8,23,32x16,1818.2822265625,896.6610717773438,2.0278366974918796,8.569055789664118,3.066287605855993,0.3101998195858411,0.6132575211711986,0.42403336287999044,1818.2822265625,896.6610717773438,0.49313635621489826,0.39473648787999044,0.009765625,2.0539875214899013
phantom,train,870,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000536_phantom_train_patch001.h5,16,16,47,4,19,32x16,680.168701171875,289.806640625,2.3469741745910784,6.078617684982289,3.296534418669498,0.2200459601963589,0.6593068837338997,0.3246856526862622,680.168701171875,289.806640625,0.42608052991219153,0.3246856526862622,0.0,1.8730959511064516
phantom,train,744,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000510_phantom_train_patch005.h5,16,0,31,4,19,32x16,725.1386108398438,356.5583190917969,2.0337167077937477,6.042095290979335,3.2677606033517748,0.21872384953345192,0.653552120670355,0.374508276931496,725.1386108398438,356.5583190917969,0.491710569209432,0.374508276931496,0.0,2.377619243896238
phantom,train,816,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000525_phantom_train_patch002.h5,16,8,39,16,31,32x16,145.63299560546875,65.00849914550781,2.2402147029959543,6.786975672066739,3.1873507309868803,0.24568851932881597,0.6374701461973761,0.4121128260473557,145.63299560546875,65.00849914550781,0.4463857855511021,0.3593784510473557,0.017578125,2.2635163707732833
phantom,train,968,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000555_phantom_train_patch004.h5,16,24,55,4,19,32x16,1258.443603515625,599.5006103515625,2.0991531647943433,6.747488078610503,2.255706920054124,0.24425906844570022,0.4511413840108248,0.4293389404772641,1258.443603515625,599.5006103515625,0.47638257978091314,0.4293389404772641,0.0,2.045759260929831
phantom,train,923,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000546_phantom_train_patch004.h5,16,0,31,0,15,32x16,717.2678833007812,387.7587585449219,1.849778676805011,6.995960774740776,3.275845534885071,0.2532537800456161,0.6551691069770142,0.4303893528920066,717.2678833007812,387.7587585449219,0.5406052153910779,0.4303893528920066,0.0,2.244766956181804
phantom,train,708,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000503_phantom_train_patch004.h5,16,16,47,12,27,32x16,504.27764892578125,227.36204528808594,2.217950002546902,5.252532997176511,2.6230074191703356,0.1901416944977897,0.5246014838340671,0.4394326764975176,504.27764892578125,227.36204528808594,0.45086679088873965,0.4394326764975176,0.0,1.9167277993387828
phantom,train,950,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000552_phantom_train_patch001.h5,16,0,31,16,31,32x16,1850.60791015625,769.4612426757812,2.4050696870979587,5.5156970077539,2.2758238935011534,0.1996682316806912,0.4551647787002307,0.44150267757374895,1850.60791015625,769.4612426757812,0.4157883679481376,0.39462767757374895,0.015625,2.072808502273719
phantom,train,789,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000519_phantom_train_patch005.h5,16,32,63,16,31,32x16,552.436279296875,274.85247802734375,2.009937415379292,5.821753350010837,2.767933637022198,0.21074747127039234,0.5535867274044396,0.4510286778793347,552.436279296875,274.85247802734375,0.497527929152603,0.4451693028793347,0.001953125,2.054567414670187
phantom,train,807,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000523_phantom_train_patch003.h5,16,16,47,4,19,32x16,628.276123046875,302.1077880859375,2.0796422595638404,5.815422182881376,3.072896154603497,0.2105182830203058,0.6145792309206994,0.4518595878977047,628.276123046875,302.1077880859375,0.48085193277892097,0.3991252128977047,0.017578125,2.188739377458545
phantom,train,959,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000553_phantom_train_patch005.h5,16,0,31,12,27,32x16,1373.866455078125,599.09912109375,2.2932206152629844,5.590919602983355,2.1742174659867595,0.2023912896279975,0.43484349319735194,0.4577412073731946,1373.866455078125,599.09912109375,0.43606794450751896,0.4577412073731946,0.0,2.089086226446979
phantom,train,861,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000534_phantom_train_patch002.h5,16,32,63,0,15,32x16,1907.4085693359375,814.9475708007812,2.340529179639965,5.904324001172123,2.0201966562786704,0.21373652884243086,0.4040393312557341,0.4667271140671673,1907.4085693359375,814.9475708007812,0.4272538059764008,0.4432896140671673,0.0078125,2.0414218023612816
phantom,train,905,/mnt/f/DAS/RF_LearningSamples_random64_full1500/train/phantom/RF000543_phantom_train_patch001.h5,16,8,39,8,23,32x16,1978.394775390625,1064.224365234375,1.8590015790090653,5.644565995081324,2.871029879221972,0.20433328902194395,0.5742059758443945,0.4743013485657593,1978.394775390625,1064.224365234375,0.5379231579421495,0.4684419735657593,0.001953125,2.470169142858552
